antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'CAMISA', 'CONJUNTO VESTIDO'})",frozenset({'CONJUNTO'}),0.006,0.727,0.006,1.0,1.375515818431912,1.0,0.0016380000000000006,inf,0.2746478873239438,0.008253094910591473,1.0,0.5041265474552957
"frozenset({'SACO', 'CAMISA'})",frozenset({'CONJUNTO'}),0.018,0.727,0.018,1.0,1.375515818431912,1.0,0.004914,inf,0.27800407331975563,0.024759284731774415,1.0,0.5123796423658872
"frozenset({'VESTIDO', 'CAMISA'})",frozenset({'CONJUNTO'}),0.012,0.727,0.012,1.0,1.375515818431912,1.0,0.003276000000000001,inf,0.2763157894736843,0.016506189821182946,1.0,0.5082530949105915
"frozenset({'SHORT', 'CAMISA'})",frozenset({'CONJUNTO'}),0.014,0.727,0.013,0.9285714285714285,1.2772646885439183,1.0,0.002822,3.821999999999996,0.22015915119363394,0.017857142857142856,0.7383568812140238,0.4732265671055217
"frozenset({'PLAYERA', 'CAMISA'})",frozenset({'CONJUNTO'}),0.048,0.727,0.044,0.9166666666666666,1.2608895002292526,1.0,0.009104000000000001,3.275999999999999,0.21734148204736445,0.060191518467852256,0.6947496947496946,0.4885946813388354
frozenset({'CAMISA'}),frozenset({'CONJUNTO'}),0.252,0.727,0.23,0.9126984126984128,1.2554311041243642,1.0,0.046796000000000004,3.1270909090909127,0.272006510113927,0.30707610146862485,0.680213965928252,0.6145335254688763
"frozenset({'CONJUNTO GUAYABERA', 'CAMISA'})",frozenset({'CONJUNTO'}),0.009,0.727,0.008,0.888888888888889,1.2226807274950329,1.0,0.0014570000000000008,2.4570000000000016,0.18377901109989922,0.01098901098901099,0.5929995929995933,0.44994650771817213
"frozenset({'SUDADERA', 'CAMISA'})",frozenset({'CONJUNTO'}),0.02,0.727,0.017,0.8500000000000001,1.1691884456671253,1.0,0.002460000000000002,1.8200000000000012,0.1476590636254503,0.023287671232876714,0.4505494505494509,0.4366918844566713
"frozenset({'SHORT', 'VESTIDO'})",frozenset({'PLAYERA'}),0.004,0.178,0.003,0.75,4.213483146067416,1.0,0.002288,3.2880000000000003,0.7657295850066934,0.01675977653631285,0.6958637469586375,0.38342696629213485
"frozenset({'GUAYABERA', 'SHORT'})",frozenset({'CONJUNTO'}),0.004,0.727,0.003,0.75,1.031636863823934,1.0,9.200000000000007e-05,1.092,0.030789825970548884,0.004120879120879121,0.08424908424908432,0.37706327372764786
