usuario_id,total_compras,total_productos,gasto_total,gasto_promedio_por_compra,desviacion_gasto,primera_compra,ultima_compra,dias_actividad,frecuencia_promedio_compras,compras_ultimos_3_meses,dias_desde_ultima_compra,prop_recoger_en_tienda,metodo_pago_predominante,num_tipos_unicos,num_marcas_unicas,num_categorias_unicas,tipos_comprados,marcas_compradas,categorias_compradas,colores_comprados,tallas_compradas,Cluster
2,7,14,10100,1442.857143,2029.677767,21/03/2025 18:23,27/03/2025 15:06,6,1,0,114,0,DESCONOCIDO,2,1,1,"['GUAYABERA', 'VESTIDO']",O,['NIÑA'],Verde,"['O', 'S']",1
31,3,15,13597,1699.625,578.684702,14/02/2025 20:08,30/06/2025 22:57,136,0.0219,6,19,1,transferencia,4,1,1,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'VESTIDO']",O,['NIÑA'],"Azul, Blanco, Rosa, Verde","['M', 'S']",1
32,4,22,21438,1786.5,1191.71085,08/03/2025 16:48,09/07/2025 02:56,123,0.0323,10,10,1,efectivo,5,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'CONJUNTO CAMISA', 'CONJUNTO GUAYABERA']",O,['NIÑO'],"Amarillo, Azul, Azul fuerte, Beige, Blanco, Gris, Verde mate",['M'],0
33,4,19,16620,1187.142857,1055.134782,16/05/2025 17:09,28/06/2025 11:23,43,0.0909,14,21,2,transferencia,5,1,2,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'PANTALON', 'SUDADERA']",O,"['NIÑA', 'NIÑO']","Amarillo, Azul, Azul fuerte, Blanco, Gris, Negro, Rosa, Vino",['M'],2
34,4,22,17567,1463.916667,966.836979,17/02/2025 02:40,26/05/2025 17:52,98,0.0404,4,54,0.5,efectivo,5,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'SACO', 'SUDADERA']",O,['NIÑO'],"Amarillo, Azul, Beige, Blanco, Gris, Negro, Rosa",['M'],0
35,3,14,11740,1304.444444,715.947098,04/03/2025 10:07,24/04/2025 21:54,51,0.0577,4,86,1.3333,transferencia,7,1,2,"['CAMISA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'PLAYERA', 'SACO', 'SHORT', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Amarillo, Azul, Beige, Blanco, Gris, Negro, Rosa",['M'],0
36,3,14,14610,1826.25,1007.235542,24/02/2025 22:58,07/07/2025 12:25,133,0.0224,5,12,2,efectivo,4,1,1,"['CONJUNTO', 'CONJUNTO VESTIDO', 'SUDADERA', 'VESTIDO']",O,['NIÑA'],"Azul marino, Blanco, Morado, Rojo, Rosa, Verde","['M', 'S']",1
37,4,16,13279,1106.583333,750.160034,26/03/2025 02:43,02/06/2025 20:05,68,0.058,6,47,0.75,transferencia,4,1,2,"['CAMISA', 'CONJUNTO', 'PLAYERA', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Amarillo, Azul, Azul marino, Beige, Blanco, Gris, Naranja, Rosa",['M'],2
38,4,21,17470,1588.181818,1273.497819,04/03/2025 15:40,28/06/2025 04:00,116,0.0342,6,21,2,efectivo,4,1,2,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'SUDADERA']",O,"['NIÑA', 'NIÑO']","Azul, Azul fuerte, Beige, Blanco, Rojo, Rosa",['M'],2
39,4,20,16110,1464.545455,1147.032564,20/03/2025 18:37,26/06/2025 09:04,98,0.0404,6,23,2,efectivo,5,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'GUAYABERA LARGA', 'PLAYERA']",O,['NIÑO'],"Amarillo, Azul, Azul marino, Beige, Blanco, Negro, Rosa, Verde, Verde mate","['M', 'S']",0
